"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
1,145.47000,144.87000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724166,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
2,147.30000,146.70000,"Digital","RX+TX","High",60,"Add","A, BA/BA","Channel ID",724273,"Off",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
3,439.85000,439.85000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724019,"Off",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.00000
4,434.50000,439.50000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724159,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",5.00000
5,439.52500,434.52500,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724271,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
6,146.79000,146.19000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724272,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
7,146.61000,146.01000,"Digital","RX+TX","High",60,"Add","A, BA/BA","Channel ID",724601,"Off",1,9,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
8,146.95000,146.35000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724602,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
9,144.40000,145.00000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724069,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
10,146.61000,146.01000,"Digital","RX+TX","High",60,"Add","D, BA/BA","Channel ID",724264,"On",2,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
