"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
1,145.29000,144.69000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724030,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
2,146.65000,146.05000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724153,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
3,439.85000,434.85000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724115,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
4,439.20000,434.20000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724131,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
5,439.50000,434.50000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724149,"On",2,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
6,439.15000,434.15000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724244,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
7,146.77000,146.17000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724406,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
8,145.45000,144.85000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724414,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
9,439.70000,434.70000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724263,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
10,439.60000,434.60000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724063,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
11,145.43000,144.83000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724177,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
12,438.68750,431.08750,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724403,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-7.60000
13,147.25000,147.85000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724405,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
14,145.35000,144.75000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724416,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
15,431.51250,439.11250,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724408,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",7.60000
16,439.75000,444.75000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724412,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",5.00000
17,439.75000,434.75000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724196,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
18,439.12500,434.12500,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724249,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
19,145.43000,144.83000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724092,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
20,145.49000,144.89000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724419,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
21,439.12500,-4560.87500,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724007,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5000.00000
22,439.20000,434.20000,"Digital","RX+TX","High",60,"Add","D, MG/MG","Channel ID",724122,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
