0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
CH;RX Freq;TX Freq;CH Mode;RX/TX Limit;TX Power;TOT;Scan Add;CH Alias;ID Type;CH ID;Dual Slot;Time Slot;Color Code;Promiscuous;TX Politely;TX Contacts;RX TG List;DMR Encryption;RX CTC DCS;TX CTC DCS;CTC DCS Type;Mute Code;Busy Lock;Demodulation;Tail Tone;Scrambler;Bandwidth;Offset
1;146.81000;146.21000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724014;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
2;147.06000;146.46000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724904;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
3;439.65000;434.65000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724026;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
4;146.73000;146.13000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724901;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
5;439.90000;434.90000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724903;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
6;434.50000;439.50000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724110;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;5.00000
7;145.39000;144.79000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724025;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
8;145.39000;144.79000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724251;Off;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
9;439.65000;439.15000;Digital;RX+TX;High;60;Add;D, PE/PE;Channel ID;724252;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.50000
