0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
CH;RX Freq;TX Freq;CH Mode;RX/TX Limit;TX Power;TOT;Scan Add;CH Alias;ID Type;CH ID;Dual Slot;Time Slot;Color Code;Promiscuous;TX Politely;TX Contacts;RX TG List;DMR Encryption;RX CTC DCS;TX CTC DCS;CTC DCS Type;Mute Code;Busy Lock;Demodulation;Tail Tone;Scrambler;Bandwidth;Offset
1;147.03000;147.03000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724035;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;0.00000
2;146.97000;146.37000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724502;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
3;439.75000;434.75000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724047;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
4;439.85000;434.85000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724067;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
5;439.50000;434.50000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724254;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
6;439.00000;434.00000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724507;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
7;146.97000;146.37000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724023;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
8;145.39000;144.79000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724024;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
9;147.39000;147.99000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724077;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;0.60000
10;439.90000;434.90000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724078;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
11;145.29000;144.69000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724158;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
12;146.63000;146.03000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724081;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
13;439.55000;434.55000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724038;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
14;439.60000;434.60000;Digital;RX+TX;High;60;Add;D, PR/PR;Channel ID;724009;On;2;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
