"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
1,439.70000,434.70000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724132,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
2,439.75000,434.75000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724275,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
3,439.85000,434.85000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724015,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
4,439.97500,434.97500,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724071,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
5,146.85000,146.25000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724112,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
6,434.57500,439.57500,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724250,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",5.00000
7,439.70000,434.70000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724255,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
8,147.27000,147.87000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724003,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
9,145.41000,144.81000,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724016,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
10,439.27500,434.27500,"Digital","RX+TX","High",60,"Add","D, RJ/RJ","Channel ID",724121,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
