"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
1,439.20000,434.20000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724120,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
2,146.69000,146.09000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724238,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
3,439.20000,434.20000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724239,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
4,145.23000,144.63000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724210,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
5,439.75000,434.75000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724259,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
6,439.92500,434.92500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724269,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
7,145.23000,144.63000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724043,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
8,145.29000,144.69000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724230,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
9,439.45000,434.45000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724184,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
10,439.37500,434.37500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724173,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
11,147.30000,147.90000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724065,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
12,145.45000,144.85000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724235,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
13,439.30000,434.30000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724236,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
14,224.70000,223.10000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724237,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-1.60000
15,439.97500,434.97500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724180,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
16,927.50000,902.50000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724086,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-25.00000
17,145.47000,144.87000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724218,"On",1,67,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
18,146.87000,146.27000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724117,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
19,439.82500,434.82500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724223,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
20,439.42500,434.42500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724226,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
21,439.60000,434.60000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724182,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
22,146.89000,146.29000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724041,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
23,439.37500,434.37500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724145,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
24,439.15000,434.15000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724245,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
25,145.37000,144.77000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724216,"On",2,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
26,145.45000,144.85000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724004,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
27,223.90000,223.30000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724123,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
28,439.17500,434.17500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724227,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
29,439.62500,434.62500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724002,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
30,439.32500,434.32500,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724217,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
31,145.43000,144.83000,"Digital","RX+TX","High",60,"Add","D, SP/SP","Channel ID",724231,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
